timestamp,module,worker_id,search_status,mfs_id,status,code,paths
2025.02.06 07:00:07.577,MF2,G42037098,finished,1847078,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:07.780,MF2,G42037098,finished,1847109,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:07.796,MF2,G42037098,finished,1847085,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:07.999,MF2,G42037098,finished,1847040,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:08.187,MF2,G42037098,finished,1847019,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:08.390,MF2,G42037098,finished,1847060,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:08.593,MF2,G42037098,finished,1847110,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:08.796,MF2,G42037098,finished,1847097,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:08.999,MF2,G42037098,finished,1847085,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:09.452,MF2,G42037216,finished,1847092,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:09.609,MF2,G42037216,finished,1847035,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:09.812,MF2,G42037216,finished,1847023,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:10.577,MF2,G42037216,finished,1847101,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:10.796,MF2,G42037216,finished,1847032,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:10.999,MF2,G42037216,finished,1847105,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:11.202,MF2,G42037216,finished,1847044,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:11.406,MF2,G42037216,finished,1847079,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:11.609,MF2,G42037216,finished,1847015,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:11.812,MF2,G42037216,finished,1847053,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:12.031,MF2,G42037216,finished,1847111,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:12.218,MF2,G42037216,finished,1847056,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:12.453,MF2,G42037216,finished,1847068,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:12.643,MF2,G42037216,finished,1847029,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:12.862,MF2,G42037216,finished,1847067,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:13.065,MF2,G42037216,finished,1847078,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:13.283,MF2,G42037216,finished,1847109,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:13.283,MF2,G42037216,finished,1847085,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:13.471,MF2,G42037216,finished,1847110,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:13.690,MF2,G42037216,finished,1847019,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:13.877,MF2,G42037216,finished,1847097,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:14.080,MF2,G42037216,finished,1847085,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:14.284,MF2,G42037216,finished,1847040,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:14.487,MF2,G42037216,finished,1847060,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:14.862,MF2,G42037470,finished,1847164,true,0,"[{'from': '101100', 'to': '101001'}]"
2025.02.06 07:00:15.018,MF2,G42037470,finished,1847092,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:15.096,MF2,G42037470,finished,1847035,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:15.299,MF2,G42037470,finished,1847023,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:16.018,MF2,G42037470,finished,1847101,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:16.237,MF2,G42037470,finished,1847032,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:16.456,MF2,G42037470,finished,1847105,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:16.659,MF2,G42037470,finished,1847044,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:16.862,MF2,G42037470,finished,1847079,true,0,"[{'from': '103005', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
2025.02.06 07:00:17.049,MF2,G42037470,finished,1847015,true,0,"[{'from': '103006', 'to': '103100'}, {'from': '103100', 'to': '1310'}, {'from': '1310', 'to': '1318'}, {'from': '1318', 'to': '1715'}, {'from': '1715', 'to': '1716'}]"
